Datetime,BTC-EUR_Open,BTC-EUR_High,BTC-EUR_Low,BTC-EUR_Close,BTC-EUR_Adj Close,BTC-EUR_Volume
2024-01-29,38777.39453125,39395.1015625,38431.58203125,38769.72265625,38769.72265625,15549147600
2024-01-30,38765.40625,39965.3828125,38701.77734375,39956.21875,39956.21875,19077561931
2024-01-31,39967.28125,40434.328125,39385.56640625,39612.0546875,39612.0546875,21988487304
2024-02-01,39606.19140625,40293.89453125,39121.9140625,39413.5234375,39413.5234375,22837367991
2024-02-02,39401.6328125,39771.8671875,38747.296875,39612.1796875,39612.1796875,19701317928
2024-02-03,39613.89453125,40213.4375,39394.47265625,39992.265625,39992.265625,17228088847
2024-02-04,39991.4375,40153.47265625,39719.03125,39812.97265625,39812.97265625,10343279551
2024-02-05,39815.46484375,39880.1875,39289.18359375,39503.2578125,39503.2578125,13731491707
2024-02-06,39497.7265625,40479.921875,39235.1484375,39715.00390625,39715.00390625,17424025115
2024-02-07,39713.81640625,40324.83984375,39579.37890625,40052.28515625,40052.28515625,15616166337
2024-02-08,40057.2578125,41161.2109375,39758.71484375,41128.15625,41128.15625,19605874860
2024-02-09,41141.0546875,42291.1015625,41141.0546875,42032.65234375,42032.65234375,24267239777
2024-02-10,42028.76953125,44635.87109375,42007.203125,43717.2421875,43717.2421875,36456475765
2024-02-11,43723.109375,44643.53515625,43492.9609375,44295.91796875,44295.91796875,15205677486
2024-02-12,44293.77734375,45004.9453125,44153.23828125,44724.17578125,44724.17578125,17888096185
2024-02-13,44726.4609375,46671.140625,44319.140625,46378.31640625,46378.31640625,32038925926
2024-02-14,46362.6640625,46758.01953125,45174.0078125,46451.3828125,46451.3828125,33238143997
2024-02-15,46442.98046875,48542.078125,46022.78125,48291.33984375,48291.33984375,36438018997
2024-02-16,48300.73828125,49030.9140625,47686.43359375,48212.640625,48212.640625,35797869001
2024-02-17,48211.87109375,48887.421875,47948.54296875,48399.97265625,48399.97265625,26149030201
2024-02-18,48401.33984375,48429.3984375,47016.890625,47938.609375,47938.609375,18566635635
2024-02-19,47937.66015625,48567.26171875,47540.26953125,48333.65234375,48333.65234375,16316334143
2024-02-20,48345.02734375,48653.56640625,47961.47265625,48051.40625,48051.40625,19824256609
2024-02-21,48050.09375,48954.84765625,46978.1640625,48367.37890625,48367.37890625,30854694565
2024-02-22,48356.890625,48447.1796875,46835.65234375,47908.9921875,47908.9921875,26454709694
2024-02-23,47923.28515625,48060.16015625,47013.47265625,47392.25,47392.25,23475734895
2024-02-24,47372.7890625,47563.90234375,46676.1015625,46833.19921875,46833.19921875,19780407304
2024-02-25,46837.28125,47712.265625,46697.953125,47607.86328125,47607.86328125,14007949994
2024-02-26,47602.4296875,47991.01953125,47349.796875,47817.75390625,47817.75390625,14246672819
2024-02-27,47815.26171875,50642.28515625,46983.7734375,50249.69921875,50249.69921875,31404136534
2024-02-28,50246.8984375,53062.31640625,50227.89453125,52655.9453125,52655.9453125,45896050163
2024-02-29,52642.78125,58946.12109375,52349.30859375,57669.23046875,57669.23046875,76799525876
2024-03-01,57664.05859375,58686.81640625,55980.44140625,56633.83984375,56633.83984375,60611481553
2024-03-02,56605.78125,58275.359375,56197.52734375,57573.38671875,57573.38671875,37053841004
2024-03-03,57565.10546875,57590.04296875,56851.1015625,57194.62109375,57194.62109375,22026367161
2024-03-04,57196.21875,58333.53515625,56605.0,58261.4140625,58261.4140625,24214782930
2024-03-05,58233.40625,63129.390625,57511.94921875,62955.0,62955.0,65110966484
2024-03-06,62964.8046875,63662.91796875,54662.05859375,58772.38671875,58772.38671875,94700013077
2024-03-07,58749.22265625,62247.25390625,57910.90234375,60656.7578125,60656.7578125,63082253938
2024-03-08,60650.28125,62190.43359375,60234.29296875,61113.40625,61113.40625,42908783273
2024-03-09,61124.921875,63992.1328125,60486.01953125,62411.53515625,62411.53515625,54098645569
2024-03-10,62410.76953125,62752.33984375,62185.85546875,62593.18359375,62593.18359375,19746552762
2024-03-11,62594.4375,63969.6328125,62389.5625,63072.97265625,63072.97265625,32609410343
2024-03-12,63073.671875,66681.3515625,61394.5546875,65983.203125,65983.203125,60121474891
2024-03-13,65984.3203125,66760.8125,62943.2578125,65417.8203125,65417.8203125,57248192058
2024-03-14,65418.57421875,67372.1796875,65274.6875,66723.8515625,66723.8515625,44017130178
2024-03-15,66720.078125,67416.4921875,63001.46484375,65603.5390625,65603.5390625,54759158986
2024-03-16,65595.53125,66513.5703125,60287.109375,63730.01171875,63730.01171875,71917756863
2024-03-17,63719.65234375,64319.9921875,59503.8828125,59975.60546875,59975.60546875,43012848654
2024-03-18,59976.734375,63235.2734375,59223.5546875,62838.26171875,62838.26171875,41086480972
2024-03-19,62820.515625,63275.12890625,61246.1796875,62122.75,62122.75,45304643119
2024-03-20,62129.68359375,62630.515625,56642.9453125,56999.375,56999.375,68326075351
2024-03-21,57015.37890625,62323.0078125,55955.75,62092.1796875,62092.1796875,61067236556
2024-03-22,62090.26953125,62374.55078125,59476.63671875,60291.375,60291.375,40948610730
2024-03-23,60290.02734375,61475.0,57444.8828125,58737.05078125,58737.05078125,38128358668
